target,mgn_split0,mgn_split1,mgn_split2,mgn_mean,mgn_std,naive_matched_split0,naive_matched_split1,naive_matched_split2,naive_matched_mean,ratio_mean,paper_relabeled
ver_disp_x,0.0925364883951184,0.078568886381909,0.1329631065444041,0.10135616044047717,0.02824929659322971,0.1164752949334664,0.1138472386133595,0.1537619338125988,0.1280281557864749,0.7916708619119592,0.127
ver_disp_y,0.0345184437088211,0.0264758067311993,0.0478163484286911,0.036270199622903836,0.010777577026980109,0.0464385340203901,0.0418611003851871,0.0585257261128359,0.048941786839471035,0.7410885863622025,0.0487
ver_disp_z,0.155082474993144,0.1254081361193477,0.2259904984552217,0.16882703652257114,0.05168063111063387,0.2217236903349963,0.2137365689404171,0.284225885647188,0.23989538164086713,0.7037527582557295,0.237
ver_disp_mag,0.1869528524778923,0.1505202469646341,0.2734677750131293,0.20364695815188524,0.06315095831814202,0.2656685480413994,0.2597226304996285,0.3446610537095841,0.290017410750204,0.7021887328250412,0.287
ver_stress,69.1892688528779,69.73724001183037,74.00079202246592,70.97576696239139,2.6340369318443644,82.19803569539859,82.05346721381744,87.87311172632515,84.04153821184705,0.844531983499395,84.4
hor_disp_x,0.1134366365886573,0.1059249996560494,0.1517004608749464,0.12368736570655103,0.02454905900512302,0.1522709650425235,0.1524864407203065,0.1877446975086645,0.1641673677571648,0.7534223603408717,0.162
hor_disp_y,0.0187590886357731,0.0148138162409125,0.0216198697456521,0.018397591540779232,0.003417396844033671,0.0198921574736873,0.0164429758247016,0.023252699837865,0.019862611045417967,0.9262423504498571,0.0197
hor_disp_z,0.114194844250426,0.0980466592578113,0.1570558363156112,0.12309911327461616,0.03049565951739787,0.1524994056133254,0.1512790642647733,0.1908668965654054,0.16488178881450136,0.7465901125873131,0.162
hor_disp_mag,0.1683776678106449,0.1530235266489687,0.229220841984799,0.18354067881480418,0.04029820583017539,0.2325615381713028,0.2388498500042367,0.2923894723474995,0.25460028684101305,0.7208973764016906,0.251
hor_stress,74.22885159049329,75.49560632982727,76.41472920710731,75.37972904247596,1.0975362855033415,87.07314871332416,89.42062192480023,91.47085655469714,89.32154239760717,0.8439143236793826,89.3
dia_disp_x,0.0454679491726685,0.043025695578719,0.0579635265447466,0.048819057098711365,0.00801293590024242,0.0593690477253664,0.056889262384558,0.0679310361491478,0.06139644875302407,0.7951446393111913,0.0627
dia_disp_y,0.029080872633465,0.0226585125261171,0.0412961921863319,0.031011859115304668,0.009467698103234055,0.0398766463567034,0.0361173381989758,0.0494898744663127,0.04182795300733063,0.7414146972449173,0.0417
dia_disp_z,0.0896737993744951,0.0741562008091597,0.1310303887865054,0.09828679632338673,0.02939908335053706,0.135774626006888,0.1296350912513783,0.1718776304350027,0.14576244923108966,0.6742943525020239,0.146
dia_disp_mag,0.1020826764311891,0.0876003955933377,0.1497347551580898,0.11313927572753886,0.032509320980766525,0.156319365790943,0.1515228005183188,0.1988375608922541,0.1688932424005053,0.6698863383725314,0.169
dia_stress,51.42416789381837,51.094217676643765,51.20447313356309,51.240952901341736,0.16797281490253294,59.32510964654296,59.47384417226401,60.04553415332503,59.614829324044,0.8595336677526157,60.1
tor_disp_x,0.0221996431528654,0.0191090001312653,0.0223317456903444,0.0212134629914917,0.0018237148125889373,0.030412400042392,0.0313544274669965,0.0323459927150589,0.0313709400748158,0.6762138125571061,0.0317
tor_disp_y,0.0160898908053047,0.0111262561527385,0.0132419424505936,0.013486029802878934,0.002490803327783678,0.0194326773514535,0.0154964256437108,0.0157422828889764,0.016890461961380235,0.798440553829405,0.0166
tor_disp_z,0.0227383134254423,0.0155735177292981,0.0218635115385999,0.020058447564446764,0.003908614371482653,0.0301664609833858,0.0249277642066646,0.0297238832690188,0.028272702819689733,0.7094633892051389,0.028
tor_disp_mag,0.03623725069939,0.0278927283497319,0.0340345855665135,0.032721521538545136,0.004324449810917487,0.044160501190793,0.0419953083333489,0.0415855169935503,0.04258044217256407,0.7684636389151602,0.0421
tor_stress,33.898216477738195,31.190338081849003,30.24758516446471,31.778713241350633,1.8951032274264517,36.96844796999862,35.69824496066809,36.30234909619369,36.323014008953464,0.8748919688635233,36.1
