,split0,split1,split2,mean,std,mean_per_bracket,paper
ver_disp_x,0.11392489038613841,0.11384723861335953,0.15376193381259887,0.1271780209373656,0.018797691795677977,0.1379015179466682,0.0627
ver_disp_y,0.04575854512110801,0.041861100385187186,0.058525726112835984,0.04871512387304373,0.0071172773866580875,0.04980127765091571,0.0417
ver_disp_z,0.21444176175411983,0.2137365689404171,0.284225885647188,0.2374680721139083,0.03306402041530782,0.24877833951657036,0.146
ver_disp_mag,0.2559531019035966,0.25972263049962857,0.34466105370958416,0.28677892870426974,0.040957763877822614,0.30266091963598624,0.169
ver_stress,83.20897662995964,82.05346721381744,87.87311172632515,84.3785185233674,2.5156757532608935,85.03372478964144,60.1
hor_disp_x,0.14656123149127512,0.15248644072030657,0.1877446975086645,0.16226412324008208,0.018179141433604773,0.17079873885856012,0.162
hor_disp_y,0.019333885394312446,0.016442975824701667,0.023252699837865033,0.01967652035229305,0.002790595434632332,0.020719003132140954,0.0197
hor_disp_z,0.1448185797355256,0.15127906426477336,0.19086689656540548,0.16232151352190147,0.02035622157004973,0.1723596210481458,0.162
hor_disp_mag,0.22178308522685586,0.23884985000423675,0.2923894723474995,0.25100746919286404,0.03007957506137465,0.26324083483187616,0.251
hor_stress,86.86150539795578,89.42062192480023,91.47085655469714,89.25099462581773,1.8855785296045158,89.35967806610734,89.3
dia_disp_x,0.06334983571352393,0.056889262384558034,0.06793103614914787,0.06272337808240995,0.004529498047229357,0.0629630220977645,0.0317
dia_disp_y,0.03954499505711047,0.0361173381989758,0.04948987446631272,0.041717402574133,0.005671313626214083,0.04213223512776617,0.0166
dia_disp_z,0.1363854862903596,0.12963509125137834,0.1718776304350027,0.1459660693255802,0.0185283333958396,0.14681095817148496,0.028
dia_disp_mag,0.15752786853214984,0.15152280051831885,0.19883756089225418,0.1692960766475743,0.021032350938442218,0.17019958384639386,0.0421
dia_stress,60.729314417436406,59.47384417226401,60.04553415332503,60.08289758100849,0.5132240598572272,59.1881988194338,36.1
tor_disp_x,0.03151790462153695,0.0313544274669965,0.032345992715058954,0.03173944160119747,0.000434057895761319,0.032670773624337186,0.127
tor_disp_y,0.018428724739394053,0.01549642564371081,0.015742282888976444,0.01655581109069377,0.0013281479831901916,0.017815596984129694,0.0487
tor_disp_z,0.029481475649235193,0.024927764206664628,0.029723883269018887,0.0280443743749729,0.0022059970639802464,0.029444881236632515,0.237
tor_disp_mag,0.04281301958755517,0.041995308333348996,0.04158551699355031,0.042131281638151497,0.000510266080449767,0.044545176626118864,0.287
tor_stress,36.16186713268393,35.69824496066809,36.30234909619369,36.05415372984857,0.2581176534096565,36.39576022697154,84.4
