station,x_mm,T_analytic_C,T_numeric_C,error_C,abs_error_C,rel_error_vs_deltaT
0,0.000000,100.000000,100.000000,0.000000,0.000000,0.000000e+00
L/4,25.000000,96.739628,96.722898,-0.016730,0.016730,2.091212e-04
L/2,50.000000,94.439501,94.415427,-0.024074,0.024074,3.009226e-04
3L/4,75.000000,93.070838,93.042000,-0.028838,0.028838,3.604768e-04
L,100.000000,92.616512,92.585925,-0.030587,0.030587,3.823323e-04
