station,x_mm,T_analytic_C,T_numeric_C,error_C,abs_error_C,rel_error_vs_deltaT
0,0.000000,100.000000,100.000000,0.000000,0.000000,0.000000e+00
L/4,25.000000,96.739628,96.665115,-0.074513,0.074513,9.314152e-04
L/2,50.000000,94.439501,94.332866,-0.106635,0.106635,1.332934e-03
3L/4,75.000000,93.070838,92.946162,-0.124676,0.124676,1.558450e-03
L,100.000000,92.616512,92.483800,-0.132712,0.132712,1.658895e-03
