station,x_mm,T_analytic_C,T_numeric_C,error_C,abs_error_C,rel_error_vs_deltaT
0,0.000000,100.000000,100.000000,0.000000,0.000000,0.000000e+00
L/4,25.000000,96.739628,96.698422,-0.041206,0.041206,5.150742e-04
L/2,50.000000,94.439501,94.366623,-0.072878,0.072878,9.109809e-04
3L/4,75.000000,93.070838,92.968163,-0.102674,0.102674,1.283428e-03
L,100.000000,92.616512,92.488000,-0.128512,0.128512,1.606395e-03
